State,City,Turnout,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Connecticut,Salisbury,500,42.00579,-73.399336,1,place,,,,,Salisbury,CT,"Litchfield County",06068,US,"TIGER/Line® dataset from the US Census Bureau"
Connecticut,Stamford,5000,41.054082,-73.536216,1,place,,,,,Stamford,CT,"Fairfield County",06901,US,"TIGER/Line® dataset from the US Census Bureau"
Delaware,Lewes,250,38.77456,-75.13935,1,place,,,,,Lewes,DE,"Sussex County",19958,US,"TIGER/Line® dataset from the US Census Bureau"
Delaware,Newark,1000,39.614737,-75.701277,1,place,,,,,Newark,DE,"New Castle County",19702,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,"Boca Raton",120,26.375954,-80.10717,1,place,,,,,"Boca Raton",FL,"Palm Beach County",33427,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,"Daytona Beach",100,29.194,-81.047652,1,place,,,,,"Daytona Beach",FL,"Volusia County",32114,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,"Fernandina Beach",1150,30.609692,-81.49172,1,place,,,,,"Fernandina Beach",FL,"Nassau County",32034,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,Gainesville,1500,29.648993,-82.324515,1,place,,,,,Gainesville,FL,"Alachua County",32601,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,Jacksonville,2500,30.337538,-81.768622,1,place,,,,,Jacksonville,FL,"Duval County",32099,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,"Key West",3200,24.557053,-81.780989,1,place,,,,,"Key West",FL,"Monroe County",33040,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,Melbourne,500,28.079357,-80.623618,1,place,,,,,Melbourne,FL,"Brevard County",32901,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,Miami,10000,25.558428,-80.458168,1,place,,,,,Miami,FL,"Miami-Dade County",33231,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,"Miami Beach",0,25.558428,-80.458168,1,place,,,,,"Miami Beach",FL,"Miami-Dade County",33239,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,Naples,2500,26.032137,-81.761821,1,place,,,,,Naples,FL,"Collier County",34101,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,"New Smyrna Beach",1000,28.951931,-81.033705,1,place,,,,,"New Smyrna Beach",FL,"Volusia County",32168,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,Ocala,300,29.198907,-82.087425,1,place,,,,,Ocala,FL,"Marion County",34470,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,Orlando,1000,28.545179,-81.373291,1,place,,,,,Orlando,FL,"Orange County",32801,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,"Panama City",500,30.159737,-85.660922,1,place,,,,,"Panama City",FL,"Bay County",32401,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,Pensacola,2000,30.428781,-87.222516,1,place,,,,,Pensacola,FL,"Escambia County",32501,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,Sarasota,10000,27.335023,-82.537169,1,place,,,,,Sarasota,FL,"Sarasota County",34230,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,"St. Augustine",2000,29.918235,-81.367087,1,place,,,,,"Saint Augustine",FL,"St. Johns County",32084,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,"St. Petersburg",20000,27.775654,-82.64092,1,place,,,,,"Saint Petersburg",FL,"Pinellas County",33701,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,Tallahassee,14000,30.427753,-84.258472,1,place,,,,,Tallahassee,FL,"Leon County",32301,US,"TIGER/Line® dataset from the US Census Bureau"
Florida,"West Palm Beach",6000,26.715844,-80.070249,1,place,,,,,"West Palm Beach",FL,"Palm Beach County",33401,US,"TIGER/Line® dataset from the US Census Bureau"
Georgia,Athens,700,33.992902,-83.353697,1,place,,,,,Athens,GA,"Clarke County",30601,US,"TIGER/Line® dataset from the US Census Bureau"
Georgia,Atlanta,60000,33.844371,-84.47405,1,place,,,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
Georgia,Augusta,600,33.456687,-81.969184,1,place,,,,,Augusta,GA,"Richmond County",30901,US,"TIGER/Line® dataset from the US Census Bureau"
Georgia,Savannah,1000,32.074679,-81.088261,1,place,,,,,Savannah,GA,"Chatham County",31401,US,"TIGER/Line® dataset from the US Census Bureau"
Georgia,Statesboro,200,32.425,-81.784956,1,place,,,,,Statesboro,GA,"Bulloch County",30458,US,"TIGER/Line® dataset from the US Census Bureau"
Georgia,Zebulon,35,33.077371,-84.321736,1,place,,,,,Zebulon,GA,"Pike County",30295,US,"TIGER/Line® dataset from the US Census Bureau"
Guam,Hagåtña,100,0,0,0,,,,,,,,,,,
Hawaii,Hilo,1750,19.564519,-155.26203,1,place,,,,,Hilo,HI,"Hawaii County",96720,US,"TIGER/Line® dataset from the US Census Bureau"
Hawaii,"Honolulu (Oahu)",5500,24.859832,-168.021815,1,place,,,,,Honolulu,HI,"Honolulu County",96801,US,"TIGER/Line® dataset from the US Census Bureau"
Hawaii,Kahului,1750,20.883783,-156.462641,1,place,,,,,Kahului,HI,"Maui County",96732,US,"TIGER/Line® dataset from the US Census Bureau"
Hawaii,Kawaihae,50,22.103611,-159.349444,0.8,place,,,,,Kawaihau,HI,"Kauai County",96746,US,"TIGER/Line® dataset from the US Census Bureau"
Hawaii,Kona,3250,21.463,-158.06385,0.67,place,,,,,Kunia,HI,"Honolulu County",96759,US,"TIGER/Line® dataset from the US Census Bureau"
Hawaii,"Lihue (Kauai)",1500,21.97583,-159.35479,1,place,,,,,Lihue,HI,"Kauai County",96766,US,"TIGER/Line® dataset from the US Census Bureau"
Idaho,Boise,5000,43.603768,-116.272921,1,place,,,,,Boise,ID,"Ada County",83701,US,"TIGER/Line® dataset from the US Census Bureau"
Idaho,Driggs,1000,43.713752,-111.158402,1,place,,,,,Driggs,ID,"Teton County",83422,US,"TIGER/Line® dataset from the US Census Bureau"
Idaho,"Idaho Falls",500,43.54241,-111.877936,1,place,,,,,"Idaho Falls",ID,"Bonneville County",83401,US,"TIGER/Line® dataset from the US Census Bureau"
Idaho,Ketchum,1150,43.669159,-114.485781,1,place,,,,,Ketchum,ID,"Blaine County",83340,US,"TIGER/Line® dataset from the US Census Bureau"
Idaho,Moscow,2500,46.735334,-116.870147,1,place,,,,,Moscow,ID,"Latah County",83843,US,"TIGER/Line® dataset from the US Census Bureau"
Idaho,Pocatello,1100,42.904933,-112.380079,1,place,,,,,Pocatello,ID,"Bannock County",83201,US,"TIGER/Line® dataset from the US Census Bureau"
Idaho,Sandpoint,900,48.299486,-116.553968,1,place,,,,,Sandpoint,ID,"Bonner County",83864,US,"TIGER/Line® dataset from the US Census Bureau"
Idaho,Stanley,30,44.371442,-114.856089,1,place,,,,,Stanley,ID,"Custer County",83278,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Carbondale,900,37.739004,-89.209109,1,place,,,,,Carbondale,IL,"Jackson County",62901,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Champaign-Urbana,5000,39.910198,-87.938156,0.9,street_center,,Champaign,,,Broadlands,IL,"Champaign County",61816,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Chicago,250000,41.88531,-87.62213,1,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Elgin,600,42.034492,-88.238396,1,place,,,,,Elgin,IL,"Kane County",60120,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Galesburg,300,40.944559,-90.385282,1,place,,,,,Galesburg,IL,"Knox County",61401,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Maryville,45,38.713829,-89.965751,1,place,,,,,Maryville,IL,"Madison County",62062,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Peoria,1750,40.693137,-89.589847,1,place,,,,,Peoria,IL,"Peoria County",61601,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Rockford,1000,42.33342,-89.157198,1,place,,,,,Rockford,IL,"Winnebago County",61101,US,"TIGER/Line® dataset from the US Census Bureau"
Illinois,Springfield,1000,39.800698,-89.648801,1,place,,,,,Springfield,IL,"Sangamon County",62701,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,Evansville,200,37.997128,-87.574963,1,place,,,,,Evansville,IN,"Vanderburgh County",47701,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,"Fort Wayne",1000,41.093763,-85.070713,1,place,,,,,"Fort Wayne",IN,"Allen County",46801,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,Indianapolis,4750,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,"Marion County",46201,US,"TIGER/Line® dataset from the US Census Bureau"
Indiana,Lafayette,800,40.417778,-86.889633,1,place,,,,,Lafayette,IN,"Tippecanoe County",47901,US,"TIGER/Line® dataset from the US Census Bureau"
